Symbole ,Key to Press            ,Code ASCII (Hex) ,HEX + 128 (0x80) ,Décimal (Dec) ,Code Binaire ,Couleur GR    ,Couleur HGR ,Description (FR)
")"     ,"Shift-0"               ,"0x29"           ,"0xA9"           ,           41 ,"00101001"   ,"Orange"      ,"Green"     ,"Parenthèse fermante"
"*"     ,"Shift-8"               ,"0x2A"           ,"0xAA"           ,           42 ,"00101010"   ,"Gray2"       ,"Purple"    ,"Astérisque"
"+"     ,"Shift-="               ,"0x2B"           ,"0xAB"           ,           43 ,"00101011"   ,"Pink"        ,"Orange"    ,"Plus"
","     ,","                     ,"0x2C"           ,"0xAC"           ,           44 ,"00101100"   ,"Light Green" ,"Blue"      ,"Virgule"
"-"     ,"-"                     ,"0x2D"           ,"0xAD"           ,           45 ,"00101101"   ,"Yellow"      ,"White"     ,"Trait d'union"
"."     ,"."                     ,"0x2E"           ,"0xAE"           ,           46 ,"00101110"   ,"Aqua"        ,"Black"     ,"Point"
"/"     ,"/"                     ,"0x2F"           ,"0xAF"           ,           47 ,"00101111"   ,"White"       ,"White"     ,"Barre oblique"
"0"     ,"0"                     ,"0x30"           ,"0xB0"           ,           48 ,"00110000"   ,"Black"       ,"Black"     ,"Zéro"
"1"     ,"1"                     ,"0x31"           ,"0xB1"           ,           49 ,"00110001"   ,"Magenta"     ,"Green"     ,"Un"
"2"     ,"2"                     ,"0x32"           ,"0xB2"           ,           50 ,"00110010"   ,"Dark Blue"   ,"Purple"    ,"Deux"
"3"     ,"3"                     ,"0x33"           ,"0xB3"           ,           51 ,"00110011"   ,"Purple"      ,"Orange"    ,"Trois"
"4"     ,"4"                     ,"0x34"           ,"0xB4"           ,           52 ,"00110100"   ,"Dark Green"  ,"Blue"      ,"Quatre"
"5"     ,"5"                     ,"0x35"           ,"0xB5"           ,           53 ,"00110101"   ,"Gray1"       ,"White"     ,"Cinq"
"6"     ,"6"                     ,"0x36"           ,"0xB6"           ,           54 ,"00110110"   ,"Medium Blue" ,"Black"     ,"Six"
"7"     ,"7"                     ,"0x37"           ,"0xB7"           ,           55 ,"00110111"   ,"Light Blue"  ,"White"     ,"Sept"
"8"     ,"8"                     ,"0x38"           ,"0xB8"           ,           56 ,"00111000"   ,"Brown"       ,"Black"     ,"Huit"
"9"     ,"9"                     ,"0x39"           ,"0xB9"           ,           57 ,"00111001"   ,"Orange"      ,"Green"     ,"Neuf"
":"     ,"Shift-;"               ,"0x3A"           ,"0xBA"           ,           58 ,"00111010"   ,"Gray2"       ,"Purple"    ,"Deux-points"
";"     ,";"                     ,"0x3B"           ,"0xBB"           ,           59 ,"00111011"   ,"Pink"        ,"Orange"    ,"Point-virgule"
"<"     ,"Shift-,"               ,"0x3C"           ,"0xBC"           ,           60 ,"00111100"   ,"Light Green" ,"Blue"      ,"Inférieur à"
"="     ,"="                     ,"0x3D"           ,"0xBD"           ,           61 ,"00111101"   ,"Yellow"      ,"White"     ,"Égal"
">"     ,"Shift-."               ,"0x3E"           ,"0xBE"           ,           62 ,"00111110"   ,"Aqua"        ,"Black"     ,"Supérieur à"
"?"     ,"Shift-/"               ,"0x3F"           ,"0xBF"           ,           63 ,"00111111"   ,"White"       ,"White"     ,"Point d'interrogation"
"@"     ,"Shift-P"               ,"0x40"           ,"0xC0"           ,           64 ,"01000000"   ,"Black"       ,"Black"     ,"Arobase"
"A"     ,"Shift-A"               ,"0x41"           ,"0xC1"           ,           65 ,"01000001"   ,"Magenta"     ,"Green"     ,"A majuscule"
"B"     ,"Shift-B"               ,"0x42"           ,"0xC2"           ,           66 ,"01000010"   ,"Dark Blue"   ,"Purple"    ,"B majuscule"
"C"     ,"Shift-C"               ,"0x43"           ,"0xC3"           ,           67 ,"01000011"   ,"Purple"      ,"Orange"    ,"C majuscule"
"D"     ,"Shift-D"               ,"0x44"           ,"0xC4"           ,           68 ,"01000100"   ,"Dark Green"  ,"Blue"      ,"D majuscule"
"E"     ,"Shift-E"               ,"0x45"           ,"0xC5"           ,           69 ,"01000101"   ,"Gray1"       ,"White"     ,"E majuscule"
"F"     ,"Shift-F"               ,"0x46"           ,"0xC6"           ,           70 ,"01000110"   ,"Medium Blue" ,"Black"     ,"F majuscule"
"G"     ,"Shift-G"               ,"0x47"           ,"0xC7"           ,           71 ,"01000111"   ,"Light Blue"  ,"White"     ,"G majuscule"
"H"     ,"Shift-H"               ,"0x48"           ,"0xC8"           ,           72 ,"01001000"   ,"Brown"       ,"Black"     ,"H majuscule"
"I"     ,"Shift-I"               ,"0x49"           ,"0xC9"           ,           73 ,"01001001"   ,"Orange"      ,"Green"     ,"I majuscule"
"J"     ,"Shift-J"               ,"0x4A"           ,"0xCA"           ,           74 ,"01001010"   ,"Gray2"       ,"Purple"    ,"J majuscule"
"K"     ,"Shift-K"               ,"0x4B"           ,"0xCB"           ,           75 ,"01001011"   ,"Pink"        ,"Orange"    ,"K majuscule"
"L"     ,"Shift-L"               ,"0x4C"           ,"0xCC"           ,           76 ,"01001100"   ,"Light Green" ,"Blue"      ,"L majuscule"
"M"     ,"Shift-M"               ,"0x4D"           ,"0xCD"           ,           77 ,"01001101"   ,"Yellow"      ,"White"     ,"M majuscule"
"N"     ,"Shift-N"               ,"0x4E"           ,"0xCE"           ,           78 ,"01001110"   ,"Aqua"        ,"Black"     ,"N majuscule"
"O"     ,"Shift-O"               ,"0x4F"           ,"0xCF"           ,           79 ,"01001111"   ,"White"       ,"White"     ,"O majuscule"
"P"     ,"Shift-P"               ,"0x50"           ,"0xD0"           ,           80 ,"01010000"   ,"Black"       ,"Black"     ,"P majuscule"
"Q"     ,"Shift-Q"               ,"0x51"           ,"0xD1"           ,           81 ,"01010001"   ,"Magenta"     ,"Green"     ,"Q majuscule"
"R"     ,"Shift-R"               ,"0x52"           ,"0xD2"           ,           82 ,"01010010"   ,"Dark Blue"   ,"Purple"    ,"R majuscule"
"S"     ,"Shift-S"               ,"0x53"           ,"0xD3"           ,           83 ,"01010011"   ,"Purple"      ,"Orange"    ,"S majuscule"
"T"     ,"Shift-T"               ,"0x54"           ,"0xD4"           ,           84 ,"01010100"   ,"Dark Green"  ,"Blue"      ,"T majuscule"
"U"     ,"Shift-U"               ,"0x55"           ,"0xD5"           ,           85 ,"01010101"   ,"Gray1"       ,"White"     ,"U majuscule"
"V"     ,"Shift-V"               ,"0x56"           ,"0xD6"           ,           86 ,"01010110"   ,"Medium Blue" ,"Black"     ,"V majuscule"
"W"     ,"Shift-W"               ,"0x57"           ,"0xD7"           ,           87 ,"01010111"   ,"Light Blue"  ,"White"     ,"W majuscule"
"X"     ,"Shift-X"               ,"0x58"           ,"0xD8"           ,           88 ,"01011000"   ,"Brown"       ,"Black"     ,"X majuscule"
"Y"     ,"Shift-Y"               ,"0x59"           ,"0xD9"           ,           89 ,"01011001"   ,"Orange"      ,"Green"     ,"Y majuscule"
"Z"     ,"Shift-Z"               ,"0x5A"           ,"0xDA"           ,           90 ,"01011010"   ,"Gray2"       ,"Purple"    ,"Z majuscule"
"["     ,"["                     ,"0x5B"           ,"0xDB"           ,           91 ,"01011011"   ,"Pink"        ,"Orange"    ,"Crochet ouvrant"
"\"     ,"\"                     ,"0x5C"           ,"0xDC"           ,           92 ,"01011100"   ,"Light Green" ,"Blue"      ,"Barre oblique inversée"
"]"     ,"]"                     ,"0x5D"           ,"0xDD"           ,           93 ,"01011101"   ,"Yellow"      ,"White"     ,"Crochet fermant"
"^"     ,"Shift-6"               ,"0x5E"           ,"0xDE"           ,           94 ,"01011110"   ,"Aqua"        ,"Black"     ,"Accent circonflexe"
"_"     ,"Shift--"               ,"0x5F"           ,"0xDF"           ,           95 ,"01011111"   ,"White"       ,"White"     ,"Tiret bas"
"`"     ,"`"                     ,"0x60"           ,"0xE0"           ,           96 ,"01100000"   ,"Black"       ,"Black"     ,"Accent grave"
"a"     ,"a"                     ,"0x61"           ,"0xE1"           ,           97 ,"01100001"   ,"Magenta"     ,"Green"     ,"A minuscule"
"b"     ,"b"                     ,"0x62"           ,"0xE2"           ,           98 ,"01100010"   ,"Dark Blue"   ,"Purple"    ,"B minuscule"
"c"     ,"c"                     ,"0x63"           ,"0xE3"           ,           99 ,"01100011"   ,"Purple"      ,"Orange"    ,"C minuscule"
"d"     ,"d"                     ,"0x64"           ,"0xE4"           ,          100 ,"01100100"   ,"Dark Green"  ,"Blue"      ,"D minuscule"
"e"     ,"e"                     ,"0x65"           ,"0xE5"           ,          101 ,"01100101"   ,"Gray1"       ,"White"     ,"E minuscule"
"f"     ,"f"                     ,"0x66"           ,"0xE6"           ,          102 ,"01100110"   ,"Medium Blue" ,"Black"     ,"F minuscule"
"g"     ,"g"                     ,"0x67"           ,"0xE7"           ,          103 ,"01100111"   ,"Light Blue"  ,"White"     ,"G minuscule"
"h"     ,"h"                     ,"0x68"           ,"0xE8"           ,          104 ,"01101000"   ,"Brown"       ,"Black"     ,"H minuscule"
"i"     ,"i"                     ,"0x69"           ,"0xE9"           ,          105 ,"01101001"   ,"Orange"      ,"Green"     ,"I minuscule"
"j"     ,"j"                     ,"0x6A"           ,"0xEA"           ,          106 ,"01101010"   ,"Gray2"       ,"Purple"    ,"J minuscule"
"k"     ,"k"                     ,"0x6B"           ,"0xEB"           ,          107 ,"01101011"   ,"Pink"        ,"Orange"    ,"K minuscule"
"l"     ,"l"                     ,"0x6C"           ,"0xEC"           ,          108 ,"01101100"   ,"Light Green" ,"Blue"      ,"L minuscule"
